,review,rating
0,"bahan tebel, jahitan bagus, model sesuai. kurang sat set untuk pengirimannya. smoga lbh baik lg ke depan.",5
1,Bagus bangetttt ga nyesel beli disini!,5
2,"Barang sesuai deskripsi, pengiriman cepat. Recomended seller",5
3,"Ukuran pas, pengiriman cepat. Mantap",5
4,ok,5
5,2x beli sesuai ekspektasi 👍👍,5
6,terima ksih sudah 2x pemesanan.,5
7,nyaman &amp; tidak gerah,5
8,"bilangnya dikirim besok, tp dikirim lusa
baju oke",4
9,"sizenya oke, untuk warna putihnya agak sedikit kebiru-biruan dan agak nerawang juga",4
10,pas cocok,5
11,Orderan ke dua sama mantapnya dgn yg prtama,5
12,"Kaosnya bagus, potongannya pas, bahannya tebel. Mantap",5
13,Bagus,5
14,bahannya enak,5
15,selalu suka barangnya,5
16,mantap,5
17,gud,5
18,josss bahanya oke dipakai nyaman.. murmer pula.. walau pengiriman agak lama 3 hariaan,5
19,"jgn berharap seller mendengarkan buyer, dan kualitas produk jelek dibandingkan produk yg lbh mahal sedikit, lbh baik pilih yg mahal dikit, tapi puas. jahitan dan aroma pakaian baru sangat bauk.",1
20,,2
21,"size oversize nya saya suka, mgkin kl bahan agak tebel lagi makin oke. soalnya agak nerawang kl pake putih. tp untuk harga segini oke banget",5
22,Jahitannya ada yang kelepas,3
23,"always good quality, langganan kalo mau beli kaos polos pasti disini xxixixi",5
24,fast response banget dan enakeun banget,5
25,"Ini order kedua kalinya, seperti biasa memuaskan, bahan bajunya enak, adem, respons seller juga cepet, packing rapi, very recomended",5
26,"Kaosnya  bagus, dapat bonus sticker.",5
27,"Bahannya adem banget, ini aq repurchase yg kedua kalinya",5
28,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. &#34;What&#39;s happened to me?&#34; he thought. It wasn&#39;t a dream.",5
29,"tebel, jahitan rapi 👍",5
30,recommended,5
31,bahan bagus banget buat harga segitu. tebel banget. cuttingan juga ok. cuma sayang ada jahitan dikit yg gak rapih.. itu aja. sisanya bagus bgt,5
32,"top, bahan oke di pake ya cukup nyaman",5
33,Kece,5
34,👍,5
35,keren abis..bahan ukuran pas.. udah beli ke dua kali.. thx u,5
36,"bahannya bagus tebal, keren pokoknya",5
37,"bahannya tebal, jahitan halus &amp; rapi.",5
38,di tanya bisa req sablon ga ? dan di bisa-in sama pihak toko dan di janjikan 7-10 hari sampai tapi 2 minggu ga di kirim&#34; sampai harus di tanyain dan slow res. ketika barang sampai hasilnya sangat ancur sablonannya dan di chat lagi masalah sablon tidak di balas . kalau gabisa terima req sablon gausa mengiyakan customer ! 👎🏼👎🏼👎🏼👎🏼👎🏼,1
39,"bagusss dan nyaman, ukuran pas",5
40,realpic jahitan rapih rekomen!,5
41,bagus,5
42,"bahannya tebal tapi nyaman dangak panas, warnanya bagus, modelnya juga keren kayak uniqlo, jahitan yg saya punya lumayan rapi dan ukuran nya juga sesuai deskripsi. sesuai lah sama harganya. worthed. pengiriman juga lumayan cepat. makasih seller",5
43,"lebih besar dari yang dikira, bahan lumayan tebal, harga murah, cuma syg pengiriman agak lama tapi keseluruhan oke lah",5
44,baguss,5
45,"bahannya betulan cotton, nyerep keringet",5
46,Bahan nya nyaman 👍🏻,5
47,Bahan nya nyaman. Di cuci jg gak mengkerut. Order ke 2x nya. Terima kasih,5
48,mantapppp bahannya adem dan tebel,5
49,mantulll,5
50,Kualitas produk bagus. Ukuran sesuai. Modelnya keren 😎.,5
51,"Nice. Bahan tebal ga nerawang, sesuai deskripsi",5
52,Kualitas produk bagus Modelnya keren 😎 Jahitannya rapi Warnanya mantap Ukuran sesuai Bahannya adem Bahan menyerap keringat Bahannya lembut Nyaman dipakai Tidak menerawang,5
53,Lehernya kecil,5
54,Kualitas produk bagus Nyaman dipakai Jahitannya rapi Ukuran sesuai Warnanya mantap Tidak menerawang Bahan menyerap keringat Bahannya lembut,5
55,jujur ini kaos terbaik yang pernah kubeli bahan adem tak kalah dengan seller yang super ramah jadi auto langganan dong yagesya,5
56,bilang nya katun combed ..... eh ternyata bahan nya carded &amp; mahan nya keras pasti bikin gerah dan kaku kaos nya......mudah2an bermamfaat,1
57,MANTAPPP ABIEZZZZ,5
58,Overall bagus. Bahan nya tebal. Dikasih sticker juga. Thank you 😇👏🏻,5
59,"sesuai dengan pesanan, bahannya bagus, pas",5
60,Bahannya adem Tidak menerawang Nyaman dipakai Kualitas produk bagus,5
61,"mantaaap, makasi......",5
62,pelayananan cepat dan ramah,5
63,kainnya bagus,5
64,mantapp abiezzzz,5
65,Barang sampai dengan selamat. Barang sesuai dengan foto dan deskripsi.,5
66,Barang sesuai pesanan!,5
67,Beli 2 pcs  size M ukuran panjang beda beda,3
68,jahitan kurang rapi,2
69,bahan bagus dan tebal sangat memuaskan,5
70,"bahan tebel nyaman dipakai tidak gerah, dan pasti gombrang oversized nya mantap. rekomen!",5
71,Kali kedua beli di sini karena barangnya cocok..,5
72,"Polanya bagus, bahannya aja yg",4
73,real pick.,5
74,Overall aman.. baju bagus,5
75,bahannya bagus,5
76,Barang sesuai pesanan!,5
77,Mantap,5
78,Terima kasih puas blnja disini,5
79,Nyaman dipake,5
80,"bahanya bagus, responya sangat sangat bagus . terima kasih",5
81,XL Kegedean. Pasnya L,5
82,Kualitas produk bagus. Jahitannya rapi. Nyaman dipakai. Tidak menerawang. Bahannya lembut.,4
83,jadi langganan tetap pokoknya 👍,5
84,jadi langganan tetap pokoknya 👍👍,5
85,sy tinggi 175 pakai L pas bgt,5
86,barang sesuai deskripsi recommended seller,5
87,Mirip un*qlo,5
88,Kualitas produk bagus.,5
89,"bonus stickernya ok
bahan kaosnya adem",5
90,"udah ke2 kalinya beli, bahannya adem, ukurannya sesuai deskripsi.
seller komunikatif. ada bonusnya, sukses buat seller ya",5
91,sesuai deskripsi,5
92,"Bahan bagus, cepat sampai, mantap",5
93,"Bahan enak, halus. Packaging bagus, diplastik satu per satu.",5
94,,1
95,"Barang sampe dengan selamat! Bahannya enak, tebal dan lembut. Pesan yang XL, ternyata pas banget di badan! Rekomend👍🏻👍🏻",5
96,oke. warna maroon wine akurat sesuai gambar. tapi jangan dibandingin sama oversize un*ql* yah.. ada harga ada rupa hehe..,5
97,ok mantap good,5
98,asli..keren bgt.ga nyesel...next pasti order lg.fast respon lagi..mantap sukses terus ya,5
99,Good banget!,5
100,Bahannya adem. Bahannya lembut.,5
101,Nyaman dipakai. Modelnya keren 😎. Jahitannya rapi.,5
102,terbaik bahan adem ukuran XL pas harga paling murah se indonesia di toko offlin diatas 100rb disini dibawah 70ribu,5
103,bagus si.. cuma sizenya beda sama yg pertama kali beliii. yg ini jauh lebih gede size M nya. padahal udah ambil ukuran yg sama huhuu 😢😢,4
104,bahan enak adem baguss penjual jg fast respon dan ramah👍,5
105,terima kasih banyak. gaperlu di jelasin lagi karna hampir tiap bulan beli baju disini wkwkwk,5
106,"barang bagus. lembut, tebal.",5
107,Bahannya adem.,5
108,🌟🌟🌟🌟🌟,5
109,"Baju kece habis, bahan baju sangat tebal. Jahitaan jugaa oke. Next time bakal order lagi🙌🏻🔥",5
110,Kualitas produk bagus. Nyaman dipakai. Modelnya keren 😎. Bahannya lembut.,5
111,"pesanan yg kedua, kualitas terjamin. Highly recommended 👍",5
112,keren cuyy..,4
113,"berat 80 tinggi 172 ukuran XL pas banget, keren",5
114,jahitan kurang rapi...tapi ttp okelh,4
115,bagus,5
116,terbaik,5
117,ol,5
118,tak pernah mengecewakan,5
119,Kualitas produk bagus. Nyaman dipakai. Warnanya mantap. Ukuran sesuai. Modelnya keren 😎. Bahannya adem. Bahannya lembut. Bahan menyerap keringat. Jahitannya rapi.,5
120,bagus dan halus,5
121,Sip pembelian 2 dan sesuai,5
